keyword,tracking_location,location_name_dfs,class,target_page
photography tutor,Local,"Coventry,England,United Kingdom",local-money,/private-photography-lessons
photography vouchers,UK,United Kingdom,national-money,/photography-gift-vouchers
photography workshops,UK,United Kingdom,national-money,/photography-workshops
photography workshops coventry,Local,"Coventry,England,United Kingdom",local-money,/photography-workshops
photography workshops near me,UK,United Kingdom,national-money,/photography-workshops
photography workshops uk,UK,United Kingdom,national-money,/photography-workshops
private photography lessons,Local,"Coventry,England,United Kingdom",local-money,/private-photography-lessons
private photography tuition,Local,"Coventry,England,United Kingdom",local-money,/private-photography-lessons
professional commercial photography,Local,"Coventry,England,United Kingdom",local-money,/professional-commercial-photographer-coventry
professional photographer,Local,"Coventry,England,United Kingdom",local-money,/professional-photographer-near-me
professional photographer coventry,Local,"Coventry,England,United Kingdom",local-money,/professional-photographer-near-me
professional photographer near me,Local,"Coventry,England,United Kingdom",local-money,/professional-photographer-near-me
rps courses,UK,United Kingdom,national-money,/rps-courses-mentoring-distinctions
rps distinctions,UK,United Kingdom,national-money,/rps-courses-mentoring-distinctions
uk photography workshops,UK,United Kingdom,national-money,/photography-workshops
